epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4388,1.69856,2.91038,1.24654,0.35874,0.41227,0.23922,0.14213,1.4053,2.09464,1.24605,0.000332394,0.000332394,0.000332394
2,116.145,1.41415,1.95001,1.12263,0.37209,0.5335,0.40988,0.2676,1.28809,1.84262,1.17262,0.000632774,0.000632774,0.000632774
3,165.373,1.3085,1.7292,1.08634,0.49,0.52418,0.51128,0.33714,1.22184,1.67507,1.16151,0.000900154,0.000900154,0.000900154
4,213.195,1.25211,1.61911,1.0765,0.56273,0.54241,0.56794,0.38372,1.21304,1.61719,1.17417,0.0008515,0.0008515,0.0008515
5,262.908,1.18575,1.48408,1.04987,0.61116,0.56899,0.6229,0.42633,1.16502,1.49655,1.16901,0.000802,0.000802,0.000802
6,309.945,1.16353,1.43012,1.0434,0.59184,0.66637,0.66032,0.44898,1.13438,1.49109,1.14365,0.0007525,0.0007525,0.0007525
7,355.466,1.1272,1.37196,1.03325,0.68676,0.63413,0.69071,0.47224,1.14083,1.43507,1.15201,0.000703,0.000703,0.000703
8,403.591,1.11361,1.32129,1.02555,0.71801,0.64659,0.7229,0.50037,1.09647,1.37508,1.12356,0.0006535,0.0006535,0.0006535
9,451.086,1.09917,1.27153,1.01884,0.72374,0.65902,0.72489,0.50638,1.04971,1.35923,1.09966,0.000604,0.000604,0.000604
10,498.054,1.08187,1.26159,1.0154,0.74108,0.67355,0.73472,0.52155,1.04438,1.34499,1.10373,0.0005545,0.0005545,0.0005545
11,586.728,1.0414,1.25588,1.01219,0.69913,0.70176,0.74614,0.51722,1.08313,1.32758,1.12844,0.000505,0.000505,0.000505
12,632.797,1.02552,1.20482,1.00512,0.71007,0.67379,0.74181,0.51491,1.08232,1.31853,1.11958,0.0004555,0.0004555,0.0004555
13,680.796,1.02211,1.16986,1.00409,0.76739,0.69042,0.76538,0.54356,1.02463,1.28105,1.09613,0.000406,0.000406,0.000406
14,731.189,0.99994,1.12702,0.99016,0.76051,0.68298,0.7677,0.53908,1.03942,1.27093,1.0994,0.0003565,0.0003565,0.0003565
15,776.671,0.98511,1.11924,0.98958,0.74066,0.73369,0.78502,0.55875,1.01857,1.21647,1.10587,0.000307,0.000307,0.000307
16,822.22,0.98073,1.0929,0.98861,0.77536,0.73017,0.79882,0.56645,1.01349,1.18497,1.09162,0.0002575,0.0002575,0.0002575
17,866.901,0.95524,1.05587,0.97798,0.79698,0.72065,0.80139,0.56954,0.99957,1.16541,1.08253,0.000208,0.000208,0.000208
18,911.136,0.93429,1.03057,0.96803,0.77415,0.75631,0.8116,0.58339,0.99235,1.13977,1.0828,0.0001585,0.0001585,0.0001585
19,956.82,0.93467,1.00753,0.96506,0.80476,0.73035,0.81088,0.58779,0.97626,1.13351,1.07005,0.000109,0.000109,0.000109
20,1004.52,0.91891,0.98989,0.95649,0.79419,0.73886,0.81694,0.59123,0.96809,1.11771,1.06063,5.95e-05,5.95e-05,5.95e-05
